id,url,skills,skill_1,skill_2,skill_3
srinath-shanmuganadhan-a12392a1,https://www.linkedin.com/in/srinath-shanmuganadhan,1: Unit Testing 2: GUI Development 3: JavaScript Debugging,unit testing,gui development,javascript debugging
teran-long-022b4011b,https://www.linkedin.com/in/teranlong,1: Data manipulation 2: Machine learning algorithms 3: Scala programming,data manipulation,machine learning algorithms,scala programming
wyatt-pearson-35b4b598,https://www.linkedin.com/in/wyatt-a-pearson,1: Java EE packaging 2: JSF development 3: MicroProfile development,java ee packaging,jsf development,microprofile development
darcydli,https://www.linkedin.com/in/darcydli,1: Data storage optimization  2: Backward thinking  3: SOLID principles ,data storage optimization,backward thinking,solid principles
gnana-prakash-avvaru,https://www.linkedin.com/in/gnana-prakash-avvaru,1: Web API design 2: Concurrency management 3: RESTful API development,web api design,concurrency management,restful api development
naviya-singla-4094a3114,https://www.linkedin.com/in/naviya-singla-4094a3114,1: Data serialization 2: Office automation 3: CSS styling,data serialization,office automation,css styling
daniela-muñoz-537ab8182,https://www.linkedin.com/in/daniela-mu%C3%B1oz-537ab8182,1: Web Development 2: Webpack Configuration 3: React Deployment,web development,webpack configuration,react deployment
tiffany-yang,https://www.linkedin.com/in/tiffany-yang,1: Java microservices development 2: Concurrency and parallelism in Java 3: Python programming basics,java microservices development,concurrency and parallelism in java,python programming basics
piyushguptapiyushgupta,https://www.linkedin.com/in/piyushguptapiyushgupta,1: Cybersecurity fundamentals 2: Data analysis techniques 3: FPGA design principles,cybersecurity fundamentals,data analysis techniques,fpga design principles
chihchechung,https://www.linkedin.com/in/chihchechung/en,1: Machine learning 2: Full-stack development 3: Web development,machine learning,full-stack development,web development
stephen-schelfe-32456915b,https://www.linkedin.com/in/stephen-schelfe-32456915b,1: Communication   2: Problem-solving   3: Statistical analysis  ,communication,problem-solving,statistical analysis
jonathan-greeves-556bbb5a,https://www.linkedin.com/in/jonathan-greeves-556bbb5a,1: Time management 2: Debugging 3: Problem-solving,time management,debugging,problem-solving
siva-kumar-67098b8,https://www.linkedin.com/in/siva-kumar-67098b8,1: Object-oriented design 2: Full-stack development 3: Programming fundamentals,object-oriented design,full-stack development,programming fundamentals
matt-hunt-47240aa,https://www.linkedin.com/in/matt-hunt-47240aa,1: Cloud architecture design 2: Database administration 3: Database management,cloud architecture design,database administration,database management
lan-le-n-24bb84b0,https://www.linkedin.com/in/lan-le-n,1: Image processing 2: Neural network training 3: Web development,image processing,neural network training,web development
bradley-flood-12563950,https://www.linkedin.com/in/bradley-flood-12563950,1: IoT device management 2: ASP.NET Core development 3: React development,iot device management,asp.net core development,react development
kwasi-bandoh-7a6353a7,https://www.linkedin.com/in/kwasibandoh,1: RESTful API development 2: Java EE architecture 3: Machine learning model building,restful api development,java ee architecture,machine learning model building
ty-chen-7906b445,https://www.linkedin.com/in/tychentw,1: Asynchronous programming 2: Concurrency 3: Unit testing,asynchronous programming,concurrency,unit testing
vyas-kovakkat-2b231226,https://www.linkedin.com/in/vyas-kovakkat-2b231226,1: Build web applications 2: Data management 3: Web development,build web applications,data management,web development
ddjefferson,https://www.linkedin.com/in/ddjefferson,1: Data Structures  2: Cloud Computing  3: Microservices,data structures,cloud computing,microservices
francisco-canseco-dominguez-683277122,https://www.linkedin.com/in/francisco-canseco-dominguez-683277122,1: Kotlin programming 2: Banking fundamentals 3: gRPC in Python,kotlin programming,banking fundamentals,grpc in python
jonghyun-oh-512a9619b,https://www.linkedin.com/in/jonghyun-oh-512a9619b,1: Patching Techniques 2: FPGA Design 3: Audio Synthesis,patching techniques,fpga design,audio synthesis
kahsieh,https://www.linkedin.com/in/kahsieh,1: Web service development 2: Functional programming 3: Data serialization,web service development,functional programming,data serialization
leena-abraham-93192b107,https://www.linkedin.com/in/leena-abraham,1: Swift programming 2: Web design 3: MERN stack development,swift programming,web design,mern stack development
annie-li-64b72b19,https://www.linkedin.com/in/annie-li-64b72b19,1: Virtual Machine Creation 2: Kernel Debugging 3: Driver Development,virtual machine creation,kernel debugging,driver development
kevin-lane-7754913a,https://www.linkedin.com/in/kevin-lane-7754913a,1: Test planning 2: Test execution 3: Test reporting,test planning,test execution,test reporting
prabhu-jayapal-86828159,https://www.linkedin.com/in/prabhu-jayapal-86828159,1: External Library Management 2: Angular and ASP.NET Development 3: React and ASP.NET MVC Development,external library management,angular and asp.net development,react and asp.net mvc development
miriam-elizalde-950450211,https://www.linkedin.com/in/miriam-elizalde-950450211,1: Change management 2: Bias mitigation 3: Web development,change management,bias mitigation,web development
rashid-attar,https://www.linkedin.com/in/rashid-attar,1: Audio mixing  2: Wireless network setup  3: Cybersecurity career development,audio mixing,wireless network setup,cybersecurity career development
parminder-pal-singh-03ba7a28,https://www.linkedin.com/in/parminder-pal-singh-03ba7a28,1: Deploying web applications 2: Java programming fundamentals 3: Attribute-based programming,deploying web applications,java programming fundamentals,attribute-based programming
dion-john,https://www.linkedin.com/in/dion-john,1: Data Analysis 2: Java Development 3: Spring Framework,data analysis,java development,spring framework
ryan-evans-08242949,https://www.linkedin.com/in/ryan-evans-08242949,1: Leadership skills 2: SolidWorks modeling 3: Advanced modeling techniques,leadership skills,solidworks modeling,advanced modeling techniques
nbhatter,https://www.linkedin.com/in/nbhatter,1: Vulnerability assessment 2: Risk management 3: Incident response,vulnerability assessment,risk management,incident response
zhuang-wu-66283062,https://www.linkedin.com/in/zhuang-wu-66283062,1: Sound design 2: Debugging techniques 3: Error analysis,sound design,debugging techniques,error analysis
mohit-vohra-71447272,https://www.linkedin.com/in/mohit-vohra-71447272,1: Eclipse IDE 2: Java programming 3: Network design,eclipse ide,java programming,network design
ian-van-allen-894415189,https://www.linkedin.com/in/ian-van-allen-894415189,1: Threat Detection 2: Incident Response 3: Security Administration,threat detection,incident response,security administration
devang-bhagat-343a27,https://www.linkedin.com/in/devang-bhagat-343a27,1: Data Leadership 2: Customer Centricity 3: Data Engineering Fundamentals,data leadership,customer centricity,data engineering fundamentals
rhonda-whitney-28183b28,https://www.linkedin.com/in/rhonda-whitney-28183b28,1: Manage Applications 2: Implement Security 3: Manage Operations,manage applications,implement security,manage operations
bhavyakanuboddu,https://www.linkedin.com/in/bhavyakanuboddu,1: Data manipulation 2: Control flow 3: String manipulation,data manipulation,control flow,string manipulation
syed-zaidi-1676b721,https://www.linkedin.com/in/syedammarzaidi,1: Data analysis 2: Django deployment 3: C++ server development,data analysis,django deployment,c++ server development
zeljkovicmihajlo,https://www.linkedin.com/in/zeljkovicmihajlo,1: Ruby on Rails 2: Selenium Automation 3: Reactive Programming,ruby on rails,selenium automation,reactive programming
emma-zhou-a98084158,https://www.linkedin.com/in/emma-zhou-a98084158,1: gRPC development 2: Quarkus development 3: Java algorithms,grpc development,quarkus development,java algorithms
kassandra-shaw-855769164,https://www.linkedin.com/in/kassandra-shaw-855769164,1: Task management 2: User support 3: Virtual assistant,task management,user support,virtual assistant
slavejovanovski,https://www.linkedin.com/in/slavejovanovski,1: Community building 2: Content creation 3: Cloud computing,community building,content creation,cloud computing
johnfourflynn,https://www.linkedin.com/in/johnfourflynn,1: Information security program management 2: Systems and application security 3: Information security risk management,information security program management,systems and application security,information security risk management
sakhitha-kanyadhara,https://www.linkedin.com/in/sakhitha-kanyadhara,1: Data Modeling  2: Machine Learning  3: Web Development,data modeling,machine learning,web development
zuleyka-guzman-14b974118,https://www.linkedin.com/in/zuleyka-guzman-14b974118,1: RESTful API development 2: Java programming 3: Gradle build management,restful api development,java programming,gradle build management
sengu,https://www.linkedin.com/in/sengu,1: Software development 2: JavaScript debugging 3: Scrum methodology,software development,javascript debugging,scrum methodology
agiantwhale,https://www.linkedin.com/in/agiantwhale,1: Model Deployment 2: Cloud Computing 3: Model Optimization,model deployment,cloud computing,model optimization
obinnaokechukwu,https://www.linkedin.com/in/obinnaokechukwu,1: Data Analysis  2: Debugging  3: Ruby Installation,data analysis,debugging,ruby installation
ryan-pelaez-499097b7,https://www.linkedin.com/in/ryan-pelaez-499097b7,1: Cloud Microservices Development 2: IT Automation Fundamentals 3: Kubernetes Microservices Deployment,cloud microservices development,it automation fundamentals,kubernetes microservices deployment
harshulg,https://www.linkedin.com/in/harshulg,1: Threat identification 2: Concurrency programming 3: Data analysis,threat identification,concurrency programming,data analysis
harikishanbk,https://www.linkedin.com/in/harikishanbk,1: Web page development 2: Servlet programming 3: Data validation,web page development,servlet programming,data validation
vincent-kim-50283b118,https://www.linkedin.com/in/vincent-inho-kim,1: Quarkus development 2: Database selection 3: Java programming,quarkus development,database selection,java programming
phong-pham-0644b07,https://www.linkedin.com/in/phong-pham-0644b07,1: Debugging JavaScript 2: Testing Node.js 3: Python Data Analysis,debugging javascript,testing node.js,python data analysis
